timestamp;co2;hum;lum;temp;confort
1261226;246.4;47.35;22.575289575289574;14.49305;2.5
1261227;242.3;47.2;21.945945945945947;14.553949999999997;2.5
1261228;246.86666666666667;47.3;22.069767441860463;14.5174;2.5
1261229;243.96666666666667;47.5;22.173745173745175;14.450199999999997;2.5
1261230;248.9;47.5875;22.45736434108527;14.414747474747477;2.5
1261231;246.35;47.725;22.266409266409266;14.361600000000001;2.5
1261232;247.68333333333334;47.75;22.84942084942085;14.368650000000002;2.5
1261233;249.16666666666666;47.7125;22.984496124031008;14.382099999999998;2.5
1261234;246.35;47.675;22.335907335907336;14.349399999999996;2.5
1261235;243.41666666666666;47.675;22.768339768339768;14.342149999999993;2.5
1261236;247.13333333333333;47.8125;22.705882352941178;14.314650000000006;2.5
1261237;247.2;47.4875;22.023166023166024;14.320049999999997;2.5
1261238;247.66666666666666;47.35;22.523255813953487;14.390399999999998;2.5
1261239;247.96666666666667;47.325;23.08108108108108;14.332799999999997;2.5
1261240;250.36666666666667;47.3625;22.293436293436294;14.344650000000001;2.5
1261241;248.75;47.375;22.24031007751938;14.3173;2.5
1261242;248.36666666666667;47.3375;22.7992277992278;14.309950000000006;2.5
1261243;248.2;47.25;27.424710424710426;14.344899999999997;2.5
1261244;250.98333333333332;47.0625;35.02713178294574;14.343700000000002;2.5
1261245;252.53333333333333;46.7125;46.02745098039216;14.434040404040399;2.5
1261246;249.0;46.4625;62.35271317829457;14.543400000000002;2.5
1261247;250.53333333333333;46.1;78.17760617760618;14.6559;2.5
1261248;253.15;46.2125;91.03861003861005;14.652900000000002;2.5
1261249;251.88333333333333;45.95;104.87209302325581;14.730303030303027;2.5
1261250;254.51666666666668;45.675;127.23166023166023;14.936249999999998;2.5
1261251;249.85;44.6625;139.72972972972974;15.003050000000004;2.4
1261252;258.93333333333334;43.8875;133.3217054263566;15.173100000000002;2.4
1261253;252.21666666666667;43.4;116.33204633204633;15.238150000000008;2.4
1261254;254.11666666666667;42.8;114.71317829457364;15.255999999999995;2.4
1261255;254.21666666666667;42.525;123.94208494208495;15.3091;2.4
1261256;254.3;42.3625;130.63706563706563;15.383000000000003;2.4
1261257;245.65;42.275;96.33333333333333;15.466250000000008;2.4
1261258;247.13333333333333;42.6375;89.27799227799228;15.472549999999998;2.4
1261259;246.61666666666667;43.2375;73.14285714285714;15.437300000000002;2.4
1261260;243.35;43.5625;88.53488372093024;15.460149999999999;2.4
1261261;247.58333333333334;43.6125;104.34749034749035;15.503700000000002;2.4
1261262;244.1;44.7;88.6046511627907;15.444149999999995;2.4
1261263;242.8;45.4625;94.23552123552123;15.391699999999997;2.5
1261264;244.1;45.4125;103.9034749034749;15.4398;2.5
1261265;243.43333333333334;45.575;66.81782945736434;15.468900000000001;2.5
1261266;240.55;45.9875;47.47490347490348;15.439849999999996;2.5
1261267;241.36666666666667;46.6375;37.33204633204633;15.362828282828282;2.5
1261268;240.55;47.25;31.089147286821706;15.443249999999999;2.5
1261269;246.38333333333333;47.8;23.057915057915057;15.38095;2.5
1261270;243.83333333333334;47.8875;20.368217054263567;15.362799999999998;2.5
1261271;242.0;48.25;20.517374517374517;15.336099999999998;2.5
1261272;241.46666666666667;48.15;20.06177606177606;15.34945;2.5
1261273;241.9;48.375;19.988372093023255;15.3335;2.5
1261274;244.05;48.7375;21.096525096525095;15.256300000000005;2.5
1261275;240.15;49.2375;20.602316602316602;15.341599999999996;2.5
1261276;242.15;50.1375;22.135658914728683;15.2916;2.5
1261277;244.33333333333334;50.475;23.104247104247104;15.238349999999995;2.5
1261278;246.08333333333334;51.025;22.197674418604652;15.279849999999996;2.5
1261279;245.31666666666666;51.4;21.8203125;15.239700000000003;2.5
1261280;244.06666666666666;51.1625;20.787644787644787;15.223199999999999;2.5
1261281;246.3;51.2375;20.790697674418606;15.189550000000002;2.5
1261282;247.1;51.1625;20.776061776061777;15.230599999999995;2.5
1261283;245.93333333333334;51.25;20.965250965250966;15.258199999999997;2.5
1261284;247.66666666666666;51.1375;21.86046511627907;15.3084;2.5
1261285;243.81666666666666;51.375;20.806949806949806;15.268099999999995;2.5
1261286;246.96666666666667;51.6;21.34108527131783;15.26905;2.5
1261287;247.11666666666667;51.6125;21.07335907335907;15.238989898989896;2.5
1261288;247.35;51.7875;20.984555984555985;15.274449999999996;2.5
1261289;246.76666666666668;51.9125;21.1046511627907;15.251650000000005;2.5
1261290;247.6;51.95;21.590733590733592;15.22775;2.5
1261291;246.55;52.1;21.714285714285715;15.202350000000003;2.5
1261292;248.36666666666667;52.1875;21.275193798449614;15.157749999999998;2.5
1261293;245.16666666666666;52.2625;21.335907335907336;15.1637;2.5
1261294;248.83333333333334;52.2;21.294573643410853;15.171899999999999;2.5
1261295;249.33333333333334;52.225;21.023166023166024;15.195749999999999;2.5
1261296;245.11666666666667;52.2625;21.274131274131275;15.12375;2.5
1261297;243.98333333333332;52.5375;22.507751937984494;15.02335;2.5
1261298;243.83333333333334;52.325;21.328185328185327;14.967049999999999;2.5
1261299;244.23333333333332;52.05;20.98069498069498;15.020300000000006;2.5
1261300;241.36666666666667;51.8375;21.0;15.067849999999996;2.5
1261301;243.78333333333333;51.775;20.77992277992278;15.07525;2.5
1261302;245.41666666666666;51.65;21.6937984496124;15.068249999999999;2.5
